Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
Iridium 54 (Iridium SV054),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,,2/18/1998,Vandenberg AFB
Iridium 55 (Iridium SV055),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,3/30/1998,Vandenberg AFB
Iridium 56 (Iridium SV056),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,2/18/1998,Vandenberg AFB
Iridium 58 (Iridium SV058),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,3/30/1998,Vandenberg AFB
Iridium 59 (Iridium SV059),USA,Iridium Satellite LLC,Government/Commercial,Communications,780,689,3/30/1998,Vandenberg AFB
Iridium 6 (Iridium SV006),USA,Iridium Satellite LLC,Government/Commercial,Communications,780,689,5/6/1997,Vandenberg AFB
Iridium 60 (Iridium SV060),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,3/30/1998,Vandenberg AFB
Iridium 61 (Iridium SV061),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,3/25/1998,Taiyuan Launch Center
Iridium 62 (Iridium SV062),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,4/7/1998,Baikonur Cosmodrome
Iridium 64 (Iridium SV064),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,4/7/1998,Baikonur Cosmodrome
Iridium 65 (Iridium SV065),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,4/7/1998,Baikonur Cosmodrome
Iridium 66 (Iridium SV066),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,4/7/1998,Baikonur Cosmodrome
Iridium 67 (Iridium SV067),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,4/7/1998,Baikonur Cosmodrome
Iridium 68 (Iridium SV068),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,4/7/1998,Baikonur Cosmodrome
Iridium 7 (Iridium SV007),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,5/5/1997,Vandenberg AFB
Iridium 70 (Iridium SV070),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,5/17/1998,Vandenberg AFB
Iridium 72 (Iridium SV072),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,5/17/1998,Vandenberg AFB
Iridium 74 (Iridium SV074),USA,Iridium Satellite LLC,Government/Commercial,Communications,751,689,5/17/1998,Vandenberg AFB
Iridium 75 (Iridium SV075),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,5/17/1998,Vandenberg AFB
Iridium 76 (Iridium SV076),USA,Iridium Satellite LLC,Government/Commercial,Communications,780,689,8/19/1998,Taiyuan Launch Center
Iridium 77 (Iridium SV077),USA,Iridium Satellite LLC,Government/Commercial,Communications,780,689,9/8/1998,Vandenberg AFB
Iridium 8 (Iridium SV008),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,5/5/1997,Vandenberg AFB
Iridium 80 (Iridium SV080),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,9/8/1998,Vandenberg AFB
Iridium 81 (Iridium SV081),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,9/8/1998,Vandenberg AFB
Iridium 82 (Iridium SV082),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,9/8/1998,Vandenberg AFB
Iridium 83 (Iridium SV083),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,11/6/1998,Vandenberg AFB
Iridium 84 (Iridium SV084),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,11/6/1998,Vandenberg AFB
Iridium 86 (Iridium SV086),USA,Iridium Satellite LLC,Government/Commercial,Communications,780,689,11/6/1998,Vandenberg AFB
Iridium 90 (Iridium SV090),USA,Iridium Satellite LLC,Government/Commercial,Communications,778,689,2/11/2002,Vandenberg AFB
Iridium 91 (Iridium SV091),USA,Iridium Satellite LLC,Government/Commercial,Communications,753,689,2/11/2002,Vandenberg AFB
Iridium 94 (Iridium SV094),USA,Iridium Satellite LLC,Government/Commercial,Communications,782,689,2/11/2002,Vandenberg AFB
Iridium 95 (Iridium SV095),USA,Iridium Satellite LLC,Government/Commercial,Communications,779,689,2/11/2002,Vandenberg AFB
Iridium 96 (Iridium SV096),USA,Iridium Satellite LLC,Government/Commercial,Communications,754,689,2/11/2002,Vandenberg AFB
Iridium 97 (Iridium SV097),USA,Iridium Satellite LLC,Government/Commercial,Communications,778,689,6/20/2002,Plesetsk Cosmodrome
Iridium 98 (Iridium SV098),USA,Iridium Satellite LLC,Government/Commercial,Communications,750,689,6/20/2002,Plesetsk Cosmodrome
IRIS (Interface Region Imaging Spectrometer),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,664,236,6/28/2013,Vandenberg AFB
IRNSS-1A (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35872,1425,7/1/2013,Satish Dhawan Space Center
IRNSS-1B (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35880,1432,4/4/2014,Satish Dhawan Space Center
IRNSS-1C (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35871,1425,10/15/2014,Satish Dhawan Space Center
IRNSS-1D (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35834,1425,3/30/2015,Satish Dhawan Space Center
IRNSS-1E (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35874,1425,1/20/2016,Satish Dhawan Space Center
IRNSS-1F (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35874,1425,3/10/2016,Satish Dhawan Space Center
IRNSS-1G (Indian Regional Navigation Satellite System),India,Indian Space Research Organization (ISRO),Government,Navigation/Regional Positioning,35797,1425,4/28/2016,Satish Dhawan Space Center
IRS-P6 (Resourcesat-1),India,Indian Space Research Organization (ISRO),Government,Earth Observation,823,1360,10/17/2003,Satish Dhawan Space Center
ITU-pSAT1 (Istanbul Technical University Picosat-1),Turkey,ITU Space Systems Design & Test Laboratory,Civil,Technology Development,721,1,9/23/2009,Satish Dhawan Space Center
Jason 2,USA/France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,1344,553,6/20/2008,Vandenberg AFB
Jason 3,USA/France,NASA/Centre National d'Etudes Spatiales (CNES)/NOAA/EUMETSAT,Government,Earth Observation,1324,553,1/17/2016,Vandenberg AFB
"JCSat 10 (Japan Communications Satellite 10, JCSat 3A)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35801,4400,8/11/2006,Guiana Space Center
"JCSat 110 (N-Sat-110, Superbird-D, Superbird-5, N-Sat-110)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35789,3531,10/7/2000,Guiana Space Center
JCSat 13 (Japan Communications Satellite 13),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35791,4500,5/15/2012,Guiana Space Center
"JCSat 14 (JCSat 2B, Japan Communications Satellite 14)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35924,4500,5/6/2016,Cape Canaveral
JCSat 15,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35774,3400,12/21/2016,Guiana Space Center
JCSat 16,Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35801,4500,8/14/2016,Cape Canaveral
JCSat 1B (JCSAT 5),Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35794,2982,12/2/1997,Guiana Space Center
"JCSat 2A (JCSAT 8, Japan Communications Satellite 8)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35794,2500,3/29/2002,Guiana Space Center
"JCSat 4A (JCSAT 6, Japan Communications Satellite 6)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,37768,2900,2/15/1999,Cape Canaveral
"JCSat 9 (JCSat 5A, Japanese Communications Satellite 9)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35797,4400,4/12/2006,Sea Launch (Odyssey)
"JCSat RA (JCSat 12, Japan Communications Satellite 12)",Japan,Sky Perfect JSAT Corporation,Commercial,Communications,35794,4000,8/21/2009,Guiana Space Center
Jilin-1,China,Changchun Institute of Optics,Commercial,Earth Observation,662,400,10/7/2015,Jiuquan Satellite Launch Center
Jugnu,India,Indian Institute of Technology Kanpur,Civil,Earth Observation,866,3,10/12/2011,Satish Dhawan Space Center
Kaituo-1A (Xinyan-2),China,China Aerospace Science and Technology Corporation,Government,Technology Development,536,130,9/19/2015,Taiyuan Launch Center
Kalpana-1 (Metsat-1),India,Indian Space Research Organization (ISRO),Government,Earth Observation,35789,1060,9/12/2002,Satish Dhawan Space Center
KazEOSat-1 (Kazcosmos Earth Observation Satellite),Kazakhstan,Kazcosmos,Government,Earth Observation,754,830,4/30/2014,Guiana Space Center
KazEOSat-2 (kazcosmos Earth Observation Satellite),Kazakhstan,Kazcosmos,Government,Earth Observation,636,185,6/19/2014,Dombarovsky Air Base
KazSat-2,Kazakhstan,JSC KazSat,Commercial,Communications,35788,1300,7/15/2011,Baikonur Cosmodrome
KazSat-3,Kazakhstan,JSC KazSat,Commercial,Communications,35789,,4/28/2014,Baikonur Cosmodrome
Kent Ridge 1,Singapore,National University of Singapore,Civil,Earth Observation,551,78,12/16/2015,Satish Dhawan Space Center
"Keyhole 5 (Advanced KH-11, KH-12-5, Improved Crystal, EIS-3, USA 186)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,1050,18000,10/19/2005,Vandenberg AFB
"Keyhole 6 (NRO L49, Advanced KH-11, KH-12-6, Improved Crystal, USA 224)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,1000,18000,1/20/2011,Vandenberg AFB
"Keyhole 7 (NRO L65, Advanced KH-11, Improved Crystal, USA 245)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,997,18000,8/28/2013,Vandenberg AFB
"Kiku-8 (ETS-8, Engineering Test Satellite 8)",Japan,National Institute of Information and Communications Technology (NICT),Government,Technology Development,35792,5800,12/18/2006,Tanegashima Space Center
Kizuna (WINDS - Wideband InterNetworking engineering Demonstration Satellite),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,35796,4850,2/23/2008,Tanegashima Space Center
KJSY-1 (Kongjian Shiyan-1),China,Tsinghua University,Civil,Technology Development,540,1,9/19/2015,Taiyuan Launch Center
"KKS-1 (Kouku Kousen Satellite One, Kiseki)",Japan,Tokyo Metropolitan College of Industrial Technology,Civil,Technology Development,667,3,1/23/2009,Tanegashima Space Center
"Kompsat-2 (Arirang 2, Korean planned Multipurpose Satellite-2)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation/Technology Development,698,800,7/28/2006,Plesetsk Cosmodrome
"Kompsat-3 (Arirang 3, Korean Multipurpose Satellite-3)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,696,980,5/17/2012,Tanegashima Space Center
"Kompsat-3A (Arirang 3A, Korean Multipurpose Satellite-3A)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,540,980,3/25/2015,Dombarovsky Air Base
"Kompsat-5 (Arirang 5, Korean Multipurpose Satellite-4)",South Korea,Korea Aerospace Research Institute (KARI),Government/Commercial,Earth Observation,552,1400,8/22/2013,Dombarovsky Air Base
Kondor (Cosmos 2487),Russia,Ministry of Defense,Military,Earth Observation,501,1150,6/27/2013,Baikonur Cosmodrome
Koreasat 5 (Mugungwha 5),South Korea,KT Corporation/Korean Agency for Defense Development (ADD),Military/Commercial,Communications,35792,4450,8/22/2006,Sea Launch (Odyssey)
Koreasat 6 (Mugungwha 6),South Korea,KT Corporation,Commercial,Communications,35794,2850,12/29/2010,Guiana Space Center
"Lacrosse/Onyx 3 (Lacrosse-3, USA 133)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,675,14500,10/24/1997,Vandenberg AFB
"Lacrosse/Onyx 4 (Lacrosse-4, USA 152)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,676,14500,8/17/2000,Vandenberg AFB
"Lacrosse/Onyx 5 (Lacrosse-5, NROL 16, USA 182)",USA,National Reconnaissance Office (NRO),Military,Earth Observation,716,14500,4/30/2005,Cape Canaveral
Landsat 7,USA,NASA/US Geological Survey,Government,Earth Observation,703,2744,4/15/1999,Vandenberg AFB
Landsat 8,USA,NASA/US Geological Survey,Government,Earth Observation,705,2780,2/11/2013,Vandenberg AFB
LaoSat-1,Laos,Laos National Authority for Science and Technology,Government,Communications,35800,3800,11/20/2015,Xichang Satellite Launch Center
LAPAN A2,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,650,68,9/24/2015,Satish Dhawan Space Center
LAPAN A3,Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation,517,115,6/22/2016,Satish Dhawan Space Center
LAPAN-Tubsat (LAPAN A1),Indonesia,Indonesian National Aeronautics and  Space Agency (Lembaga Penerbangan dan Antariksa Nasional - LAPAN),Government,Earth Observation/Technology Development,637,60,1/10/2007,Satish Dhawan Space Center
LatinSat A,Argentina,Aprize Satellites Argentina,Commercial,Communications,668,,12/20/2002,Baikonur Cosmodrome
LatinSat B,Argentina,Aprize Satellites Argentina,Commercial,Communications,717,,12/20/2002,Baikonur Cosmodrome
Lemur-1,USA,Spire Global Inc.,Commercial,Technology Development,697,4,6/19/2014,Dombarovsky Air Base
Lemur-2 Chris (Lemur-2 F4),USA,Spire Global Inc.,Commercial,Earth Observation,649,10,9/28/2015,Satish Dhawan Space Center
Lemur-2 Jeroen (Lemur-2 F3),USA,Spire Global Inc.,Commercial,Earth Observation,649,10,9/28/2015,Satish Dhawan Space Center
Lemur-2 Joel (Lemur-2 F1),USA,Spire Global Inc.,Commercial,Earth Observation,649,10,9/28/2015,Satish Dhawan Space Center
Lemur-2 Peter (Lemur-2 F2),USA,Spire Global Inc.,Commercial,Earth Observation,650,10,9/28/2015,Satish Dhawan Space Center
"LilacSat-2 (CAS-3H, Zidingxiang-2)",China,Harbin Institute/China Amateur Satellite - CAMSAT,Civil,Technology Development,541,11,9/19/2015,Taiyuan Launch Center
Ling Qiao,China,Xinwei Telecom Technology Company,Commercial,Technology Development,808,100,9/4/2014,Jiuquan Satellite Launch Center
Lingqiao-A (Lingqiao Video A),China,Changchun Institute of Optics,Commercial,Earth Observation,664,95,10/7/2015,Jiuquan Satellite Launch Center
Lingqiao-B (Lingqiao Video B),China,Changchun Institute of Optics,Commercial,Earth Observation,663,95,10/7/2015,Jiuquan Satellite Launch Center
LMRSTSat (Low Mass Radio Science Transponder Satellite),USA,NASA Jet Propulsion Laboratory,Government,Technology Demonstration,800,3,10/8/2015,Cape Canaveral
Lotos-S1 (Cosmos 2455),Russia,Ministry of Defense,Military,Earth Observation,911,5000,11/20/2009,Plesetsk Cosmodrome
Lotos-S2 (Cosmos 2502),Russia,Ministry of Defense,Military,Earth Observation,910,5000,12/23/2014,Plesetsk Cosmodrome
"LQSat (Lingqiao Satellite, Jilian 1A)",China,Changchun Institute of Optics,Commercial,Earth Observation,663,55,10/7/2015,Jiuquan Satellite Launch Center
Luch 5A,Russia,Russian Federal Space Agency,Government,Communications,35793,950,12/11/2011,Baikonur Cosmodrome
Luch 5B,Russia,Russian Federal Space Agency,Government,Communications,35801,1282,11/2/2012,Baikonur Cosmodrome
Luch 5V,Russia,Russian Federal Space Agency,Government,Communications,35802,1148,4/28/2014,Baikonur Cosmodrome
Luch/Olympus,Russia,Ministry of Defense,Military,Communications,35793,,9/27/2014,Baikonur Cosmodrome
M3MSat (Maritime Monitoring and Messaging Microsatellite),Canada,Defence Research and Development Canada (DRDC)/Canadian Space Agency,Government,Earth Observation,515,85,6/22/2016,Satish Dhawan Space Center
Maroc Tubsat,Morocco/Germany,CTRS Morocco/Institut für Luft-und Raumfahrttechnik (Berlin),Government,Technology Development,1014,47,12/10/2001,Baikonur Cosmodrome
M-Cubed/E1P-U2 (Michigan Multipurpose Minisat; Explorer 1 Prime - Unit 2 -  HRBE [William A. Hiscock Radiation Belt Explorer]),USA,University of Michigan/Montana University,Civil,Technology Development,724,2,10/28/2011,Vandenberg AFB
Measat 2 (Malaysia East Asia Sat 2),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,35791,1450,11/14/1996,Guiana Space Center
Measat 3 (Malaysia East Asia Sat 3),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,35794,4900,12/11/2006,Baikonur Cosmodrome
Measat 3A (Malaysia East Asia Sat 3A),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,35788,2417,6/21/2009,Baikonur Cosmodrome
Measat 3B (Malaysia East Asia Sat 3B),Malaysia,MEASAT Satellite Systems Sdn. Bhd.,Commercial,Communications,35802,5800,9/11/2014,Guiana Space Center
Megha-Tropiques,India/France,Indian Space Research Organization (ISRO)/Centre National d'Etudes Spatiales (CNES),Government,Earth Observation,868,1000,10/12/2011,Satish Dhawan Space Center
"Mercury 1 (Advanced Vortex 1, USA 105)",USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,35976,8000,8/27/1994,Cape Canaveral
"Mercury 2 (Advanced Vortex 2, USA 118)",USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,37900,8000,4/24/1996,Cape Canaveral
"Mercury 3 (NROL 67, USA 250)",USA,National Reconnaissance Office (NRO)/USAF,Military,Earth Observation,35500,3900,4/10/2014,Cape Canaveral
Meridian-3,Russia,Military Space Forces (VKS),Military,Communications,38105,2500,11/2/2010,Plesetsk Cosmodrome
Meridian-4,Russia,Military Space Forces (VKS),Military,Communications,38637,2500,5/4/2011,Plesetsk Cosmodrome
Meridian-6 (Meridian 16L),Russia,Military Space Forces (VKS),Military,Communications,38860,2500,11/14/2012,Plesetsk Cosmodrome
Meridian-7 (Meridian 17L),Russia,Military Space Forces (VKS),Military,Communications,39398,2500,10/30/2014,Plesetsk Cosmodrome
Meteor-M N-2,Russia,Russian Federal Service For Hydrometeorology and Environmental Monitoring (ROSHYDROMET),Government,Earth Observation,828,2778,7/8/2014,Baikonur Cosmodrome
"Meteosat 10 (MSGalaxy-3,MSG 3)",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,35791,2000,7/5/2012,Guiana Space Center
Meteosat 11 (MSG 4),Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,35795,2000,7/15/2015,Guiana Space Center
Meteosat 7 (MTP 1),Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,35797,696,9/2/1997,Guiana Space Center
"Meteosat 8 (MSGalaxy-1, MSG-1)",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,35793,2000,8/21/2002,Guiana Space Center
"Meteosat 9 (MSGalaxy-2, MSG 2)",Multinational,EUMETSAT (European Organization for the Exploitation of Meteorological Satellites),Government/Civil,Earth Observation,35795,2000,12/21/2005,Guiana Space Center
MetOp-A (Meteorological Operational satellite),Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,821,4193,10/19/2006,Baikonur Cosmodrome
MetOp-B (Meteorological Operational satellite),Multinational,ESA/EUMETSAT (European Organization for the Exploitation of Meterological Satellites),Government/Civil,Earth Observation,822,4085,9/17/2012,Baikonur Cosmodrome
Mexsat-3 (Mexsat Bicentenario),Mexico,Mexico Telecomm,Government/Military,Communications,35791,2900,12/19/2012,Guiana Space Center
Mexsat3 (Morelos-3),Mexico,Mexico Telecomm,Government,Communications,35805,5325,10/2/2015,Cape Canaveral
MICROSCOPE (MICRO-Satellite à traînée Compensée pour l'Observation du Principe d'Equivalence),ESA,Centre National d'Etudes Spatiales (CNES),Government,Space Science,715,300,4/25/2016,Guiana Space Center
Mikhailo Lomonosov (MVL-300),Russia,Moscow State University,Civil/Government,Space Science,487,645,4/27/2016,Vostochny Cosmodrome
"Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,35819,4536,2/7/1994,Cape Canaveral
"Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,35809,4536,11/6/1995,Cape Canaveral
"Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,35768,4536,2/27/2001,Cape Canaveral
"Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)",USA,US Air Force,Military,Communications,35820,4536,1/16/2002,Cape Canaveral
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,US Air Force,Military,Communications,35806,4536,4/8/2003,Cape Canaveral
MKA-FKI-1 (Zond PP),Russia,Lavochkin Research and Production Association (Lavochkin NPO),Government,Earth Observation,821,110,7/22/2012,Baikonur Cosmodrome
MMS-1 (Magnetospheric Multiscale Mission),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,70009,1360,3/13/2015,Cape Canaveral
MMS-2 (Magnetospheric Multiscale Mission),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,70117,1360,3/13/2015,Cape Canaveral
MMS-3 (Magnetospheric Multiscale Mission),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,70045,1360,3/13/2015,Cape Canaveral
MMS-4 (Magnetospheric Multiscale Mission),USA,National Aeronautics and Space Administration (NASA),Government,Space Science,70157,1360,3/13/2015,Cape Canaveral
MOST (Microvariability & Oscillations of STars),Canada,Canadian Space Agency,Government,Space Science,832,53,6/30/2003,Plesetsk Cosmodrome
Mozhayets 4 (RS-22),Russia,Mozhaisky Space Engineering Academy,Civil,Technology Development,690,64,9/27/2003,Plesetsk Cosmodrome
MSAT 1,USA/Canada,Mobile Satellite Ventures,Commercial,Communications,35809,2850,4/20/1996,Guiana Space Center
"MSAT 2 (AMSC-1, ACTel-1)",USA/Canada,Mobile Satellite Ventures,Commercial,Communications,35796,2850,4/7/1995,Cape Canaveral
MTI (Multispectral Thermal Imager),USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,478,587,3/12/2000,Vandenberg AFB
MTSAT-2 (Multi-Functional Transport Satellite),Japan,Japan Meteorological Agency/Meteorological Satellite Center (MSC),Government,Earth Observation,35797,2900,2/18/2006,Tanegashima Space Center
MUOS-1 (Mobile User Objective System 1),USA,DoD/US Navy,Military,Communications,36006,6804,2/24/2012,Cape Canaveral
MUOS-2 (Mobile User Objective System 2),USA,DoD/US Navy,Military,Communications,36023,6804,7/19/2013,Cape Canaveral
MUOS-3 (Mobile User Objective System 3),USA,DoD/US Navy,Military,Communications,35998,6804,1/21/2015,Cape Canaveral
MUOS-4 (Mobile User Objective System 4),USA,DoD/US Navy,Military,Communications,35997,6804,9/2/2015,Cape Canaveral
MUOS-5 (Mobile User Objective System 5),USA,DoD/US Navy,Military,Communications,35998,6804,6/24/2016,Cape Canaveral
Nanosat-1,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications,659,20,12/18/2004,Guiana Space Center
Nanosat-1B,Spain,Instituto Nacional de Técnia Aeroespacial (INTA),Government,Communications/Technology Development,672,20,7/29/2009,Baikonur Cosmodrome
"Navstar GPS IIF-1 (Navstar SVN 62, PRN 25, USA 213)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20224,1630,5/28/2010,Cape Canaveral
"Navstar GPS IIF-10 (Navstar SVN 72, PRN 8, USA 262)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20459,1630,7/15/2015,Cape Canaveral
"Navstar GPS IIF-11 (Navstar SVN 73, PRN 10, USA 265)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20486,1630,10/31/2015,Cape Canaveral
"Navstar GPS IIF-12 (Navstar SVN 70, PRN 32, USA 266)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20188,1630,2/5/2016,Cape Canaveral
"Navstar GPS IIF-2 (Navstar SVN 63, PRN 01, USA 232)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20464,1630,7/16/2011,Cape Canaveral
"Navstar GPS IIF-3 (Navstar SVN 65, PRN 24, USA 239)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20191,1630,10/4/2012,Cape Canaveral
"Navstar GPS IIF-4 (Navstar SVN 66, PRN 27, USA 242)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20247,1630,5/15/2013,Cape Canaveral
"Navstar GPS IIF-5 (Navstar SVN 64, PRN 30, USA 248)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20469,1630,2/21/2014,Cape Canaveral
"Navstar GPS IIF-6 (Navstar SVN 67, PRN 06, USA 251)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20188,1630,5/17/2014,Cape Canaveral
"Navstar GPS IIF-7 (Navstar SVN 68, PRN 09, USA 256)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20476,1630,8/2/2014,Cape Canaveral
"Navstar GPS IIF-8 (Navstar SVN 69, PRN 03, USA 258)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20211,1630,10/29/2014,Cape Canaveral
"Navstar GPS IIF-9 (Navstar SVN 71, PRN 26, USA 260)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20469,1630,3/25/2015,Cape Canaveral
"Navstar GPS IIR-10 (Navstar SVN 47, PRN 22, USA 175)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20327,2217,12/21/2003,Cape Canaveral
"Navstar GPS IIR-11 (Navstar SVN 59, PRN 19, USA 177)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20276,2217,3/20/2004,Cape Canaveral
"Navstar GPS IIR-12 (Navstar SVN 60, PRN 23, USA 178)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20292,2217,6/23/2004,Cape Canaveral
"Navstar GPS IIR-13 (Navstar SVN 61, PRN 02, USA 180)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20426,2217,11/6/2004,Cape Canaveral
"Navstar GPS IIR-2 (Navstar SVN 43, PRN 13, USA 132)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20247,2217,7/23/1997,Cape Canaveral
"Navstar GPS IIR-3 (Navstar SVN 46, PRN 11, USA 145)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20268,2217,10/7/1999,Cape Canaveral
"Navstar GPS IIR-4 (Navstar SVN 51, PRN 20, USA 150)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20234,2217,5/11/2000,Cape Canaveral
"Navstar GPS IIR-5 (Navstar SVN 44, PRN 28, USA 151)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20427,2217,7/16/2000,Cape Canaveral
"Navstar GPS IIR-6 (Navstar SVN 41, PRN 14, USA 154)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20498,2217,11/10/2000,Cape Canaveral
"Navstar GPS IIR-7 (Navstar SVN 54, PRN 18, USA 156)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20266,2217,1/30/2001,Cape Canaveral
"Navstar GPS IIR-8 (Navstar SVN 56, PRN 16, USA 166)",USA,DoD/US Air Force,Military/Commercial,Navigation/Global Positioning,20344,2217,1/29/2003,Cape Canaveral
