Name,CountryOperatorOwner,OperatorOwner,Users,Purpose,ApogeeKM,LaunchMassKG,DateOfLaunch,LaunchSite
"SDS III-5 (Satellite Data System) (NRO L-24, USA 198, Quasar) ",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,39966,,12/10/2007,Cape Canaveral
"SDS III-6 (Satellite Data System) NRO L-27, USA 227, Quasar)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,35803,,3/2/2011,Cape Canaveral
"SDS III-7 (Satellite Data System) NRO L-38, USA 236, Quasar)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,35805,,6/20/2012,Cape Canaveral
"SDS III-8 (Satellite Data System) NRO L-33, USA 252, Quasar)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,35500,,5/22/2014,Cape Canaveral
"SDS IV-1 (Satellite Data System, NRO L-61, USA 269, Quasar)",USA,National Reconnaissance Office (NRO)/US Air Force,Military,Communications,35796,,7/28/2016,Cape Canaveral
SDS-4 (Small Demonstration Satellite-4),Japan,Japan Aerospace Exploration Agency (JAXA),Government,Technology Development,673,50,5/17/2012,Tanegashima Space Center
SEEDS 2,Japan,Nihon University,Civil,Technology Development,627,3,4/28/2008,Satish Dhawan Space Center
Sentinel 1A,ESA,EUMETSAT,Government,Earth Observation,693,2300,4/3/2014,Guiana Space Center
Sentinel 1B,ESA,EUMETSAT,Government,Earth Observation,697,2300,4/25/2016,Guiana Space Center
Sentinel 2A,ESA,EUMETSAT,Government,Earth Observation,788,2300,6/23/2015,Guiana Space Center
Sentinel 3A,ESA,EUMETSAT,Government,Earth Observation,804,2300,2/16/2016,Plesetsk Cosmodrome
SES-1 (AMC-4R),USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35793,,4/24/2010,Baikonur Cosmodrome
SES-2,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35798,3200,9/21/2011,Guiana Space Center
SES-3,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35852,3112,7/15/2011,Baikonur Cosmodrome
SES-4,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35792,,2/14/2012,Baikonur Cosmodrome
"SES-5 (Sirius 5, Astra 4B)",USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35791,6007,7/9/2012,Baikonur Cosmodrome
SES-6,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35816,6140,6/3/2013,Baikonur Cosmodrome
"SES-7 (Protostar 2, Indostar 2)",USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35790,4007,5/16/2009,Baikonur Cosmodrome
SES-8,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35795,3138,12/3/2013,Cape Canaveral
SES-9,USA,SES World Skies (SES [Société Européenne des Satellites (SES)]),Commercial,Communications,35791,5271,3/4/2016,Cape Canaveral
Shijian 11-01 (SJ-11-01),China,Chinese Academy of Space Technology (CAST),Government,Space Science,703,,11/12/2009,Jiuquan Satellite Launch Center
Shijian 11-02 (SJ-11-02),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,704,,7/29/2011,Jiuquan Satellite Launch Center
Shijian 11-03 (SJ-11-03),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,703,,7/6/2011,Jiuquan Satellite Launch Center
Shijian 11-05 (SJ-11-05),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,704,,7/15/2013,Jiuquan Satellite Launch Center
Shijian 11-06 (SJ-11-06),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,704,,3/31/2014,Jiuquan Satellite Launch Center
Shijian 11-07 (SJ-11-07),China,Chinese Academy of Space Technology (CAST),Government,Technology Development,705,,9/28/2014,Jiuquan Satellite Launch Center
